Addresses,BAYC,Azuki Count
0x54BE3a794282C030b15E43aE2bB182E14c409C5e,106,5
0xD38A87D7B690323Ef6883e887614502ABCf9B1EB,72,5
0x88341d1a8F672D2780C8dC725902AAe72F143B0c,32,19
0xff3879B8A363AeD92A6EABa8f61f1A96a9EC3c1e,23,3
0x33569c101562e1fAF5b24581057E5cEE4c8288D7,16,6
0x8C0A11eb047c1097c821C159b8e0C2C5f37F81Bf,11,1
0xF98c3c402f9db363d92E9bB15afaBfb9c0290114,9,1
0x2dc23418844EACD31a7D91A5571E000960553283,8,3
0x840De9986997435983F3D827dF933638F1eD23d7,7,2
0x44b51387773ce3581156d9accb27849a204F31DC,6,3
0xF862046a8C47Af06Bce0dB3A021928a898E5Bc6f,6,1
0x851Ce1B1e0Ca5294ddC049920816b507512F623C,6,2
0xECa588e75c8Eb0D2322f52c2c90Bd525C5a5d93D,6,3
0x8BA68CFe71550EfC8988D81d040473709B7F9218,6,4
0x2de14DB256Db2597fe3c8Eed46eF5b20bA390823,6,6
0x51E9a3Dd530bBa62f5238562CD60C42d722a40d9,5,2
0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2,5,12
0x0743882fa09A0c257B18d53dC1B101d3F32a04E5,4,12
0x0Ed1E02164A2A9FaD7A9F9b5B9e71694c3faD7F2,4,5
0x4BD56f1f449f1e88c106fa3a5dc8a1477a792739,4,2
0x6e3AA85dB95BBA36276a37ED93B12B7AB0782aFB,4,9
0xE052113bd7D7700d623414a0a4585BCaE754E9d5,4,3
0x707582bFF3f58f168be346d224a9693B0Ae3d56e,4,1
0x1d5e42F1d4C5a4a217f76f474a23b67945c8cedD,4,1
0x20b38b163765c3a9afEF81781F06cae22Fef3290,4,1
0xF142D7bAFF0986B50ae24e694419C65e7091f52c,4,2
0x7d989ce97CFF246E23b2c8e9d431e922C3e85dea,4,3
0xA2201F091B2e8E5f8AdAf8b023b99322b9eA5E66,3,3
0xB97bdCF85917F33918ecE795dc365b8e0e29Da47,3,1
0xc4CCa7049fba013313F57E0139b954913D541ad2,3,1
