Addresses,Cool_Cats,Azuki Count
0x54BE3a794282C030b15E43aE2bB182E14c409C5e,30,5
0xc4996857d25e902eBEa251621b758F86D3761C0f,29,1
0xeA4396B0BB1DeD1383CFE5BBB98B1AB09Fd142A5,22,4
0x92041C816fA960e2352f49ac118771307c416A17,15,1
0x38A4D889a1979133FbC1D58F970f0953E3715c26,12,1
0x6491bce963FcAe210b7C843c4829202Dc2479C03,12,3
0x0B5dD26f44D36141d97A3bF6841e7bA63C092AF9,11,1
0x3e25dac1092031116E2A7d59953dCEC2824A6C6A,10,1
0x4897D38b0974051D8Fa34364E37a5993f4A966a5,10,33
0x88341d1a8F672D2780C8dC725902AAe72F143B0c,10,19
0x6F59738973e365a52b03A4Ed7A552D2704787f8f,10,6
0xB12f1F37767D19d63cA5a9889Da95cb396c957eB,10,24
0x88889778402dcf6cF363bB9Ac47f7A2D8E77A2AF,9,1
0x7C6553933A471b43cE3a76A02245c5162C82522c,8,2
0x0Ed1E02164A2A9FaD7A9F9b5B9e71694c3faD7F2,8,5
0x22290f198BE49fe8245cC84D11e4f4747A2000ae,8,1
0xC665A60F22dDa926B920DEB8FFAC0EF9D8a17460,8,1
0x2604fb7B2c561D6a277a0EC8c2308A26CEe18272,7,1
0x16EcAfB3b5D8E15d07BF8D3ff3a3F9Ab16cDa860,7,12
0xF224837e13B1a745574Ef68A73427B0063F266F1,7,4
0x178cA0473D596eb08304a98EEae3aE05B2F04153,7,5
0xd07489DF7BB4727280AFf879C051b38353d8a959,6,1
0x0Fd3e2c50EE69fd59E3Ad545Fc07587ADB6fB39E,6,1
0x42dB1cCBa62B6aFdFc9F7471b90d7dE2156ebd9C,6,3
0xFA04FcCCDc6EAcea794Aa59F9b0027aB744bE3F6,6,1
0x735eD02655Bca15EC46491C0dE4946591135459b,6,2
0x4c343ec99711eb9B266a2aB9d02757A969a92f5A,6,2
0x7cDaC4326D72940665b8c5eD832b4a9eBDfBd660,6,1
0xd2498b4Dc8402789736F7C94CAf969eA65BadFa2,6,4
0x366474E5ca468292DA7BB9ab5dE87c015B35a110,5,1
0x765c0E040B294d7e3607373998F2bBb7259673a7,5,1
0xAc3aaD9A7fdfC1A4C548057a5dd1408D9E26Ca00,5,2
0x3d280fDe2Ddb59323C891CF30995E1862510342f,5,9
0x7772881A615cd2d326eBE0475A78f9D2963074b7,5,3
0x1E5CE6F088fD0adb4fCFf31Cfb02A61503311bE9,5,4
0x9654617220e021f942E844855621ed08Ac9154c1,5,1
0x2155D5C0A63AF068a00443483C4CD572ae73b09b,4,2
0xfC28Fd2Bf7EF223A395D32Cbfa7b4488298d63d6,4,2
0xfFa914c83D851b9Fe372e4bA6A6E131373AA16ab,4,1
0x2Debdf4427CcBcfDbC7f29D63964499a0ec184F6,4,5
0x4F000A1895B72734A94446CAD33D576aA38aF257,4,1
0xF5D4a3b9FB77d1d5600a10E0e1C4eFD12F9be751,4,4
0x1C3Df1F4Cb5e551Dc6efF0F61595958907aF326b,4,3
0x62cB05fC74548cB01b5d6c9C846bd0C06a42be9e,4,2
0x23d09Ed7A3f46270271F5B2e00Bfb4AecF361160,4,1
0x58d97151619418951010eA30623f9f89A3913403,4,1
0xe38918204954B986aEcFc73C8eDC831905a64F60,3,3
0xeA2a3f3DC3e40Ca326C1047B0cB567e91465C512,3,2
0x9e7F11F34632BF6362FBcBe11Cb638b00B68E755,3,1
0xe47E1ac440A31A8C77C825cF30D9a91f6352Bc84,3,1
0x4e2e67836d10B02B1DCe78591af6DFd1e2d7BCBA,3,2
0x64aF0b826a315e88F2726C7f5A2291f2bD3a39e3,3,6
0x668E961736454a2444ADB485340cB7F0844DDd3d,3,5
0xc44af9353818BCE658d6c0328A722fAccc14C59b,3,1
0xd2FC0D9F79ef243956c10e0C6e76E588D70ae8Bc,3,1
0xE34EFBcE9bb931b6C2083237B4f93b1870E41582,3,1
0xE52Ee356E4320DBC467D72A5e7931C1F24Be2912,3,2
0x09D390e78FAa3ECA8C6e3c0bB3C6CbCAF679a44c,3,8
0x90e5aa59a9dF2ADd394df81521DbBEd5F3c4A1A3,3,5
