Addresses,Azuki Count,Punks
0x07cc65Ec4de72Fdf7d2B6C39Fd80c4EA4706215B,94,1
0x2079C29Be9c8095042edB95f293B5b510203d6cE,64,4
0x59DBCE846aA40F138D805a7CeBe2AFb0c33066A3,36,1
0xB12f1F37767D19d63cA5a9889Da95cb396c957eB,24,1
0x4897D38b0974051D8Fa34364E37a5993f4A966a5,23,1
0x60251579f5D1Be1483ecAc3519c9F0515dD9e023,20,1
0x6A693A682F8CFEA669C3170814d875107CB3aCCB,15,6
0x50664edE715e131F584D3E7EaAbd7818Bb20A068,15,9
0x80aC8B6F4CACEa6129F5cF1365904F056b4E29EA,14,1
0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2,12,1
0x6e3AA85dB95BBA36276a37ED93B12B7AB0782aFB,9,2
0x3d280fDe2Ddb59323C891CF30995E1862510342f,9,1
0x77f6821146CCe5993282d940eEf472c4B09d7537,8,3
0xc5F59709974262c4AFacc5386287820bDBC7eB3A,7,1
0xC46Db2d89327D4C41Eb81c43ED5e3dfF111f9A8f,7,5
0x124183252C86e093f78E5994916f044d7549bd1e,7,1
0x1E5CE6F088fD0adb4fCFf31Cfb02A61503311bE9,6,3
0x2de14DB256Db2597fe3c8Eed46eF5b20bA390823,6,1
0x57EAdd1811affBD06C03787CAA973E626C090c62,6,1
0x129B043520711c7BC94025b09bed6AF74d35a372,6,1
0xE6030d4E773888e1DfE4CC31DA6e05bfe53091ac,6,1
0x8BA68CFe71550EfC8988D81d040473709B7F9218,5,2
0x54BE3a794282C030b15E43aE2bB182E14c409C5e,5,3
0x90e5aa59a9dF2ADd394df81521DbBEd5F3c4A1A3,5,1
0x0Ed1E02164A2A9FaD7A9F9b5B9e71694c3faD7F2,5,6
0xECa9C66692bB06d64E0289042409c69289c67C23,5,1
0x60Cd04af655806bCdE85964a78543Def2d40aAAF,5,1
0x4D98F940bba7Ee8BF44A60fEDB60Ee1F3364DC0d,5,1
0x4b4C13434aaC5e99645A4D9E59Fe497B3318f50f,5,3
0xB6C5B1a489606028Da263EDa28063186f96fa921,5,2
0xf480935955D38A332CF40c65adD722D46b922462,4,1
0xF224837e13B1a745574Ef68A73427B0063F266F1,4,2
0x994F16B760E5549bDA0e8C9adAB0809552452e76,4,3
0xECa588e75c8Eb0D2322f52c2c90Bd525C5a5d93D,3,3
0xC01c78fd32403b22c89DC1eEca293D6A500403Bc,3,1
0x82410609593D876761681580cF304C794bD58D09,3,1
0x7772881A615cd2d326eBE0475A78f9D2963074b7,3,1
0x213178dE4cC876A18a9cB6F3eD6Ea71d0856601a,3,1
