addresses,baycTokens,azukiTokens
0x54BE3a794282C030b15E43aE2bB182E14c409C5e,104,2
0x33569c101562e1fAF5b24581057E5cEE4c8288D7,4,1
0x88341d1a8F672D2780C8dC725902AAe72F143B0c,4,2
0x0743882fa09A0c257B18d53dC1B101d3F32a04E5,2,3
0x0Ed1E02164A2A9FaD7A9F9b5B9e71694c3faD7F2,2,1
0x20b38b163765c3a9afEF81781F06cae22Fef3290,2,1
0xED8B0BF8f7185F3665fd5757755277A19bAb8FF8,1,1
0xB88194f9bCC5Ec80CF80C163ca2b123917468793,1,3
0x5da0E30b11F2b5F609F484512fd5aFFDD721644D,1,1
0xC2B39a520d5088aFDa4Fdeac32DbA62516Ed6119,1,2
0x840De9986997435983F3D827dF933638F1eD23d7,1,1
